column_names,importances,abs_importances,cumsum
EXT_SOURCE_3,284,284,0.07141061101332663
EXT_SOURCE_2,277,277,0.1410611013326628
EXT_SOURCE_1,256,256,0.20543122957002766
DAYS_BIRTH,177,177,0.2499371385466432
AMT_ANNUITY,172,172,0.2931858184561227
AMT_CREDIT,171,171,0.336183052552175
DAYS_EMPLOYED,170,170,0.3789288408348001
AMT_GOODS_PRICE,148,148,0.41614282122202667
DAYS_ID_PUBLISH,148,148,0.4533568016092532
DAYS_REGISTRATION,134,134,0.4870505406084989
DAYS_LAST_PHONE_CHANGE,124,124,0.5182298214734725
AMT_INCOME_TOTAL,120,120,0.5484033190847373
SK_ID_CURR,88,88,0.5705305506663314
REGION_POPULATION_RELATIVE,85,85,0.591903444807644
OWN_CAR_AGE,49,49,0.6042242896655771
LANDAREA_AVG,31,31,0.6120191098818205
FLAG_DOCUMENT_3_1,30,30,0.6195624842846367
NAME_CONTRACT_TYPE_Revolving loans,29,29,0.6268544128740257
TOTALAREA_MODE,28,28,0.6338948956499875
CODE_GENDER_M,26,26,0.6404324867990948
NAME_FAMILY_STATUS_Married,25,25,0.646718632134775
FLAG_OWN_CAR_Y,25,25,0.6530047774704552
EXT_SOURCE_1_miss,25,25,0.6592909228061353
NAME_EDUCATION_TYPE_Higher education,25,25,0.6655770681418154
YEARS_BUILD_AVG,24,24,0.6716117676640684
CODE_GENDER_F,23,23,0.6773950213728941
BASEMENTAREA_AVG,22,22,0.6829268292682927
FLAG_WORK_PHONE_1,20,20,0.6879557455368368
BASEMENTAREA_MODE,20,20,0.692984661805381
AMT_REQ_CREDIT_BUREAU_QRT_1.0,19,19,0.6977621322604979
APARTMENTS_MODE,17,17,0.7020367110887604
YEARS_BEGINEXPLUATATION_MODE,17,17,0.7063112899170229
APARTMENTS_AVG,17,17,0.7105858687452854
LIVINGAREA_MODE,16,16,0.7146090017601207
COMMONAREA_MODE,16,16,0.718632134774956
REG_CITY_NOT_LIVE_CITY_1,15,15,0.7224038219763641
DEF_30_CNT_SOCIAL_CIRCLE_0.0,14,14,0.725924063364345
LANDAREA_MODE,14,14,0.7294443047523259
NAME_INCOME_TYPE_Working,14,14,0.7329645461403068
ENTRANCES_AVG,14,14,0.7364847875282876
NAME_EDUCATION_TYPE_Secondary / secondary special,13,13,0.7397535831028413
REGION_RATING_CLIENT_W_CITY_3,13,13,0.7430223786773951
ORGANIZATION_TYPE_Self-employed,13,13,0.7462911742519487
OCCUPATION_TYPE_Drivers,12,12,0.7493085240130751
NONLIVINGAREA_AVG,12,12,0.7523258737742017
LIVINGAREA_AVG,12,12,0.7553432235353281
APARTMENTS_MEDI,12,12,0.7583605732964546
NONLIVINGAREA_MODE,12,12,0.7613779230575811
NONLIVINGAREA_MEDI,11,11,0.7641438270052804
DEF_60_CNT_SOCIAL_CIRCLE_0.0,11,11,0.7669097309529797
FLAG_OWN_REALTY_Y,11,11,0.7696756349006789
LIVINGAPARTMENTS_MODE,11,11,0.7724415388483782
YEARS_BEGINEXPLUATATION_MEDI,11,11,0.7752074427960775
YEARS_BUILD_MODE,11,11,0.7779733467437767
OCCUPATION_TYPE_High skill tech staff,11,11,0.780739250691476
YEARS_BEGINEXPLUATATION_AVG,11,11,0.7835051546391752
FLAG_DOCUMENT_16_1,11,11,0.7862710585868745
ORGANIZATION_TYPE_Transport: type 3,11,11,0.7890369625345738
NAME_TYPE_SUITE_Family,10,10,0.7915514206688459
EXT_SOURCE_3_miss,10,10,0.794065878803118
OBS_60_CNT_SOCIAL_CIRCLE_6.0,10,10,0.7965803369373899
FLAG_DOCUMENT_18_1,10,10,0.799094795071662
NONLIVINGAPARTMENTS_MODE,10,10,0.8016092532059341
ORGANIZATION_TYPE_Military,9,9,0.8038722655267789
FLOORSMIN_AVG,9,9,0.8061352778476238
LIVINGAPARTMENTS_AVG,9,9,0.8083982901684686
HOUR_APPR_PROCESS_START_12,9,9,0.8106613024893136
ORGANIZATION_TYPE_Realtor,9,9,0.8129243148101584
HOUR_APPR_PROCESS_START_17,9,9,0.8151873271310033
ORGANIZATION_TYPE_Business Entity Type 3,9,9,0.8174503394518481
DEF_60_CNT_SOCIAL_CIRCLE_3.0,9,9,0.819713351772693
OBS_30_CNT_SOCIAL_CIRCLE_7.0,9,9,0.8219763640935378
ENTRANCES_MODE,8,8,0.8239879306009555
LANDAREA_MEDI,8,8,0.8259994971083732
AMT_REQ_CREDIT_BUREAU_HOUR_nan,8,8,0.8280110636157908
NAME_TYPE_SUITE_nan,8,8,0.8300226301232084
ORGANIZATION_TYPE_Construction,8,8,0.832034196630626
NAME_HOUSING_TYPE_Office apartment,8,8,0.8340457631380438
CNT_FAM_MEMBERS_3.0,8,8,0.8360573296454614
AMT_REQ_CREDIT_BUREAU_YEAR_0.0,8,8,0.838068896152879
REGION_RATING_CLIENT_W_CITY_1,8,8,0.8400804626602967
NAME_HOUSING_TYPE_House / apartment,7,7,0.8418405833542871
OCCUPATION_TYPE_Low-skill Laborers,7,7,0.8436007040482776
NAME_FAMILY_STATUS_Widow,7,7,0.845360824742268
COMMONAREA_AVG,7,7,0.8471209454362585
HOUR_APPR_PROCESS_START_3,7,7,0.8488810661302489
FLOORSMAX_AVG,7,7,0.8506411868242394
REGION_RATING_CLIENT_3,7,7,0.8524013075182298
NONLIVINGAPARTMENTS_AVG,7,7,0.8541614282122203
NAME_FAMILY_STATUS_Single / not married,7,7,0.8559215489062107
COMMONAREA_MEDI,7,7,0.8576816696002012
NAME_EDUCATION_TYPE_Academic degree,7,7,0.8594417902941917
REG_CITY_NOT_WORK_CITY_1,7,7,0.861201910988182
WEEKDAY_APPR_PROCESS_START_TUESDAY,7,7,0.8629620316821724
WEEKDAY_APPR_PROCESS_START_SATURDAY,7,7,0.8647221523761629
OCCUPATION_TYPE_Accountants,7,7,0.8664822730701534
LIVINGAREA_MEDI,6,6,0.8679909479507166
AMT_REQ_CREDIT_BUREAU_YEAR_2.0,6,6,0.8694996228312799
NAME_FAMILY_STATUS_Civil marriage,6,6,0.8710082977118431
FLAG_DOCUMENT_13_1,6,6,0.8725169725924063
AMT_REQ_CREDIT_BUREAU_WEEK_0.0,6,6,0.8740256474729696
