column_names,importances,abs_importances,cumsum
EXT_SOURCE_3,0.03246464,0.03246464,0.032464635
NAME_INCOME_TYPE_Working,0.0293241,0.0293241,0.06178873
EXT_SOURCE_2,0.023186944,0.023186944,0.084975675
CODE_GENDER_M,0.021753762,0.021753762,0.10672943
APARTMENTS_MEDI,0.019168135,0.019168135,0.12589757
NAME_EDUCATION_TYPE_Higher education,0.015885454,0.015885454,0.14178303
NAME_EDUCATION_TYPE_Secondary / secondary special,0.013384296,0.013384296,0.15516733
FLAG_DOCUMENT_3_1,0.009977146,0.009977146,0.16514447
FLAG_OWN_CAR_Y,0.009660532,0.009660532,0.174805
DEF_30_CNT_SOCIAL_CIRCLE_0.0,0.009371236,0.009371236,0.18417624
AMT_GOODS_PRICE,0.00928621,0.00928621,0.19346243
DAYS_EMPLOYED,0.009090281,0.009090281,0.2025527
FLOORSMAX_AVG,0.00898558,0.00898558,0.21153829
REGION_RATING_CLIENT_W_CITY_3,0.008729842,0.008729842,0.22026813
EXT_SOURCE_1,0.008718686,0.008718686,0.22898681
OCCUPATION_TYPE_Core staff,0.008087425,0.008087425,0.23707424
CODE_GENDER_F,0.007995285,0.007995285,0.24506953
NAME_FAMILY_STATUS_Married,0.007837814,0.007837814,0.25290734
NAME_CONTRACT_TYPE_Revolving loans,0.00752825,0.00752825,0.26043558
AMT_CREDIT,0.00736752,0.00736752,0.2678031
OWN_CAR_AGE,0.007230977,0.007230977,0.27503407
APARTMENTS_AVG,0.006466857,0.006466857,0.28150094
LIVINGAREA_MEDI,0.006246007,0.006246007,0.28774694
AMT_ANNUITY,0.006228568,0.006228568,0.2939755
FLAG_DOCUMENT_16_1,0.006171786,0.006171786,0.3001473
AMT_REQ_CREDIT_BUREAU_HOUR_nan,0.006122182,0.006122182,0.30626947
REG_CITY_NOT_LIVE_CITY_1,0.005949671,0.005949671,0.31221914
DAYS_BIRTH,0.0059440844,0.0059440844,0.31816322
AMT_REQ_CREDIT_BUREAU_QRT_1.0,0.005906392,0.005906392,0.32406962
LIVINGAREA_AVG,0.0058543463,0.0058543463,0.32992396
OBS_60_CNT_SOCIAL_CIRCLE_5.0,0.005843167,0.005843167,0.33576712
OCCUPATION_TYPE_Sales staff,0.0057968264,0.0057968264,0.34156394
FLAG_DOCUMENT_18_1,0.0057727736,0.0057727736,0.3473367
NAME_INCOME_TYPE_State servant,0.005747225,0.005747225,0.35308394
EXT_SOURCE_1_miss,0.0057139057,0.0057139057,0.35879785
REGION_RATING_CLIENT_W_CITY_1,0.005689541,0.005689541,0.36448738
ORGANIZATION_TYPE_Restaurant,0.0055882405,0.0055882405,0.3700756
ORGANIZATION_TYPE_Transport: type 3,0.0055878614,0.0055878614,0.37566346
NAME_HOUSING_TYPE_Rented apartment,0.0054607657,0.0054607657,0.38112423
ENTRANCES_MEDI,0.0053787753,0.0053787753,0.386503
OCCUPATION_TYPE_Laborers,0.005347827,0.005347827,0.39185083
ORGANIZATION_TYPE_Self-employed,0.005101299,0.005101299,0.39695212
YEARS_BEGINEXPLUATATION_MEDI,0.005085953,0.005085953,0.40203807
ORGANIZATION_TYPE_Military,0.0050711,0.0050711,0.40710917
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.004777052,0.004777052,0.41188622
DEF_60_CNT_SOCIAL_CIRCLE_3.0,0.00476218,0.00476218,0.4166484
WALLSMATERIAL_MODE_Panel,0.004659855,0.004659855,0.42130825
OBS_60_CNT_SOCIAL_CIRCLE_8.0,0.0046289447,0.0046289447,0.4259372
